level_0,index,team_id,type_id,subtype_id,start_frame,start_time,start_x,start_y,end_frame,end_time,end_x,end_y,period,player_id,receiver_id,opp_team_id,ball_owning_team,ball_possession_change,end_sequence,new_sequence,sequence_id,sequence_team_id,sequence_start_time,time_since_sequence_change,sequence_type,event_idx,carry_avg_pressure,carry_start_pressure
0,1,FIFATMA,5,[35],361,14.44,,,361,14.44,,,1,P3577,,FIFATMB,FIFATMA,1,0,1.0,1.0,FIFATMA,14.44,0.0,Kick-off,,,
1,2,FIFATMA,1,[35],361,14.44,0.49875,0.51275,377,15.08,0.50136,0.51295,1,P3577,P3574,FIFATMB,FIFATMA,0,0,0.0,1.0,FIFATMA,14.44,0.0,Kick-off,,,
2,3,FIFATMA,10,,377,15.08,0.50136,0.51295,384,15.36,0.503,0.515,1,P3574,,FIFATMB,FIFATMA,0,0,0.0,1.0,FIFATMA,14.44,0.6400000000000006,Kick-off,3.0,0.3839114649640374,0.3839114649640374
3,4,FIFATMA,1,,384,15.36,0.503,0.515,426,17.04,0.36627,0.36551,1,P3574,P3575,FIFATMB,FIFATMA,0,0,0.0,1.0,FIFATMA,14.44,0.92,Kick-off,,,
4,5,FIFATMA,10,,426,17.04,0.36627,0.36551,465,18.6,0.33014,0.40293,1,P3575,,FIFATMB,FIFATMA,0,0,0.0,1.0,FIFATMA,14.44,2.6,Kick-off,5.0,0.7071434504396918,0.49617380397783784
5,6,FIFATMA,1,,465,18.6,0.33014,0.40293,507,20.28,0.19398,0.60179,1,P3575,P3569,FIFATMB,FIFATMA,0,0,0.0,1.0,FIFATMA,14.44,4.160000000000002,Kick-off,,,
6,7,FIFATMA,10,,507,20.28,0.19398,0.60179,530,21.2,0.19071,0.5707800000000001,1,P3569,,FIFATMB,FIFATMA,0,0,0.0,1.0,FIFATMA,14.44,5.840000000000002,Kick-off,7.0,0.253799054025705,0.20609910211336657
7,8,FIFATMA,1,,530,21.2,0.19071,0.5707800000000001,580,23.2,0.20094,0.18478,1,P3569,P3570,FIFATMB,FIFATMA,0,0,0.0,1.0,FIFATMA,14.44,6.76,Kick-off,,,
8,9,FIFATMA,10,,580,23.2,0.20094,0.18478,598,23.92,0.2024399999999999,0.1800199999999999,1,P3570,,FIFATMB,FIFATMA,0,0,0.0,1.0,FIFATMA,14.44,8.76,Kick-off,9.0,0.28288480973536045,0.21033263670338287
9,10,FIFATMA,1,,598,23.92,0.2024399999999999,0.1800199999999999,628,25.12,0.31899,0.01941,1,P3570,P3571,FIFATMB,FIFATMA,0,0,0.0,1.0,FIFATMA,14.44,9.480000000000002,Kick-off,,,
